Date,Open,High,Low,Close,Volume
3-Jun-16,237.58,239.64,236.23,238.92,1516652
2-Jun-16,238.13,238.24,236.79,237.83,921498
1-Jun-16,235.92,238.58,235.36,238.08,972746
31-May-16,239.74,240.60,236.15,236.23,2545987
27-May-16,240.00,240.82,239.21,240.09,794068
26-May-16,240.59,242.00,240.11,241.54,644167
25-May-16,241.30,241.56,240.50,240.84,737251
24-May-16,240.40,241.75,240.30,240.97,741364
23-May-16,240.43,240.52,239.04,239.52,848745
20-May-16,239.49,240.30,238.39,240.07,1009032
19-May-16,239.68,241.07,237.79,238.89,1359893
18-May-16,240.89,243.18,240.13,241.58,738045
17-May-16,243.00,243.53,240.27,241.53,1016091
16-May-16,241.21,243.99,240.91,242.97,920834
13-May-16,242.38,244.50,241.70,242.12,1195723
12-May-16,242.03,245.37,241.50,244.94,968105
11-May-16,243.97,244.49,241.62,241.83,1003172
10-May-16,241.31,244.55,241.29,244.36,1141385
9-May-16,240.26,242.00,239.52,240.32,1498185
6-May-16,238.00,240.50,237.79,240.26,1139570
5-May-16,236.10,238.16,235.44,238.14,1197908
4-May-16,233.85,236.34,233.09,236.01,1382453
3-May-16,232.34,234.83,231.36,234.70,1164135
2-May-16,232.74,233.80,232.43,233.24,1008070
29-Apr-16,232.10,232.96,230.82,232.38,952259
28-Apr-16,232.20,234.48,231.90,232.72,1034619
27-Apr-16,230.09,234.59,229.96,233.65,1405563
26-Apr-16,227.85,232.22,227.85,232.16,1915548
25-Apr-16,226.04,226.99,225.34,226.30,985712
22-Apr-16,226.60,227.86,225.60,226.83,1038001
21-Apr-16,226.31,227.31,225.65,226.07,997260
20-Apr-16,227.00,228.12,226.06,226.58,886932
19-Apr-16,227.16,227.89,226.29,226.51,721259
18-Apr-16,225.65,227.63,225.30,227.14,824457
15-Apr-16,225.87,225.92,224.62,225.81,1133072
14-Apr-16,226.79,226.79,225.19,225.44,773335
13-Apr-16,227.00,227.16,224.93,226.38,809130
12-Apr-16,224.75,226.87,224.18,225.98,682413
11-Apr-16,226.05,226.71,224.11,224.65,1138374
8-Apr-16,227.59,228.00,225.80,226.30,582596
7-Apr-16,226.00,227.41,225.64,226.48,1061110
6-Apr-16,225.31,226.85,225.31,226.63,1275958
5-Apr-16,224.03,227.03,222.82,225.62,1437249
4-Apr-16,223.22,224.90,223.08,224.13,1007212
1-Apr-16,219.96,223.47,219.17,223.11,957816
31-Mar-16,222.65,223.33,221.09,221.50,1104396
30-Mar-16,222.00,223.86,221.79,222.96,949347
29-Mar-16,219.00,220.92,218.43,220.76,748479
28-Mar-16,218.81,219.55,218.34,219.06,994839
24-Mar-16,221.05,221.50,217.14,218.00,1318388
23-Mar-16,220.89,222.54,220.62,221.26,779051
22-Mar-16,221.05,222.73,220.50,220.73,924478
21-Mar-16,220.41,223.19,220.41,221.26,1148753
18-Mar-16,220.00,221.09,218.37,220.91,2112171
17-Mar-16,218.28,219.94,217.42,219.25,1299111
16-Mar-16,217.14,218.94,216.29,218.19,880062
15-Mar-16,215.34,217.32,214.81,217.05,1012256
14-Mar-16,215.62,217.51,215.62,216.60,934369
11-Mar-16,218.00,218.89,215.96,217.05,1296353
10-Mar-16,216.94,218.52,215.67,216.56,1367605
9-Mar-16,216.75,217.92,215.74,216.41,988185
8-Mar-16,213.95,216.21,210.90,215.34,1839775
7-Mar-16,217.50,218.38,215.30,215.84,1017355
4-Mar-16,217.91,219.08,217.56,218.72,936286
3-Mar-16,216.48,218.62,215.54,218.52,874999
2-Mar-16,218.09,218.86,215.78,217.20,1188228
1-Mar-16,216.59,218.35,214.88,218.13,1159503
29-Feb-16,216.67,218.10,215.73,215.79,1243744
26-Feb-16,219.22,219.75,217.11,217.24,1210165
25-Feb-16,217.00,220.14,216.38,220.03,1489140
24-Feb-16,213.58,216.99,213.50,216.63,1301570
23-Feb-16,214.83,215.74,213.87,215.15,1277137
22-Feb-16,214.78,216.78,214.48,215.01,974357
19-Feb-16,214.51,214.74,212.70,213.62,1233287
18-Feb-16,212.25,215.50,212.00,214.20,987131
17-Feb-16,210.00,212.97,209.10,212.74,1236730
16-Feb-16,207.52,209.49,206.85,209.00,1538253
12-Feb-16,208.31,209.92,205.55,206.08,2329229
11-Feb-16,211.67,212.75,203.65,207.18,2640022
10-Feb-16,216.01,217.44,213.62,213.95,1737869
9-Feb-16,213.12,217.33,212.24,215.98,1965255
8-Feb-16,209.33,215.15,209.30,214.53,2499683
5-Feb-16,210.34,212.57,209.57,211.94,1886441
4-Feb-16,212.50,213.38,209.28,210.21,1622644
3-Feb-16,212.00,213.64,210.31,212.92,2231157
2-Feb-16,209.50,210.98,207.64,210.45,1565084
1-Feb-16,209.26,211.34,208.86,209.80,1603926
29-Jan-16,207.83,211.05,206.12,211.00,2590706
28-Jan-16,208.49,209.43,206.17,206.66,1862895
27-Jan-16,209.89,211.64,207.00,207.86,2693049
26-Jan-16,201.43,211.22,200.47,209.93,4440812
25-Jan-16,211.84,212.75,210.00,211.01,1786267
22-Jan-16,213.71,213.71,211.01,212.04,1517930
21-Jan-16,211.20,212.00,208.75,210.79,1562891
20-Jan-16,213.05,216.20,207.62,210.40,2458679
19-Jan-16,216.69,220.78,213.17,215.29,2917653
15-Jan-16,211.99,217.01,211.99,215.99,2804355
14-Jan-16,214.42,217.13,212.27,216.42,1920663
13-Jan-16,219.26,219.62,214.06,214.40,1365629
12-Jan-16,216.03,218.10,214.51,217.96,1354867
11-Jan-16,215.07,216.47,213.23,215.35,2550165
8-Jan-16,215.01,216.35,212.37,212.91,1765149
7-Jan-16,213.81,216.19,212.14,213.29,1810068
6-Jan-16,217.83,221.00,216.26,217.63,1787147
5-Jan-16,214.59,218.94,214.02,218.26,1350102
4-Jan-16,214.00,215.77,211.39,213.21,1870956
31-Dec-15,219.58,219.95,215.78,217.15,1157827
30-Dec-15,220.93,221.24,219.62,219.80,633524
29-Dec-15,219.36,221.35,218.80,220.47,768589
28-Dec-15,218.08,218.77,217.43,218.41,612933
24-Dec-15,218.00,219.00,217.48,218.56,524370
23-Dec-15,218.00,218.35,217.18,217.93,742711
22-Dec-15,216.16,218.23,215.58,217.58,895229
21-Dec-15,213.80,215.59,213.52,215.47,1066828
18-Dec-15,213.75,215.17,211.85,212.18,2058224
17-Dec-15,217.86,218.76,215.16,215.22,1282280
16-Dec-15,216.00,218.11,214.75,217.50,1352036
15-Dec-15,217.00,217.24,214.72,214.84,1540042
14-Dec-15,215.99,217.57,214.72,216.58,2022633
